"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","LEAVE"
"zero",135972,60,26,462087,792,3,5,"very_unsat","very_high","never_thought","LEAVE"
"one",24552,64,82,413869,134,5,2,"unsat","little","considering","STAY"
"zero",36384,180,0,456679,192,14,14,"very_unsat","little","actively_looking_into_it","STAY"
"zero",81511,204,0,957071,304,20,9,"very_sat","very_little","considering","STAY"
"one",26385,80,12,978267,244,3,5,"very_unsat","very_little","no","STAY"
"one",75851,46,0,208993,355,5,9,"avg","high","no","STAY"
"one",112259,0,54,212227,815,1,2,"avg","very_high","no","LEAVE"
"zero",41946,187,0,222833,195,1,14,"very_unsat","very_high","considering","LEAVE"
"zero",28009,0,0,151461,193,1,12,"unsat","very_little","considering","STAY"
"zero",139732,199,0,221939,689,26,15,"very_unsat","little","considering","LEAVE"
"zero",56159,215,41,574739,136,29,1,"very_sat","very_high","actively_looking_into_it","STAY"
"zero",125049,0,0,517315,557,1,9,"unsat","very_high","considering","LEAVE"
"one",69169,235,0,686451,384,17,8,"very_sat","high","no","STAY"
"one",102283,165,0,251199,718,14,8,"very_sat","little","no","LEAVE"
"zero",24324,0,64,786975,151,0,1,"very_sat","high","no","STAY"
"one",141128,44,34,879664,809,4,2,"very_unsat","very_little","actively_looking_into_it","STAY"
"one",49024,167,0,875770,221,10,10,"very_unsat","very_little","considering","STAY"
"zero",80477,0,0,561545,369,13,12,"very_sat","very_high","no","LEAVE"
"one",127602,0,0,278539,790,1,9,"very_sat","very_high","considering","STAY"
"one",132565,251,17,225177,185,15,4,"unsat","very_high","no","LEAVE"
"zero",44949,0,66,343995,593,0,2,"avg","very_little","actively_looking_into_it","STAY"
"one",21930,0,43,539140,243,0,2,"very_sat","little","actively_looking_into_it","STAY"
"zero",67872,0,7,213639,311,0,4,"unsat","little","no","STAY"
"zero",98987,226,24,523403,399,12,15,"very_unsat","little","never_thought","LEAVE"
"one",55915,186,17,203035,383,11,5,"very_unsat","very_little","considering","LEAVE"
"zero",53164,51,0,814523,327,3,9,"avg","very_little","considering","STAY"
"one",50549,0,13,386651,281,1,4,"very_sat","very_high","considering","STAY"
"one",27177,219,30,161968,217,19,14,"very_sat","little","perhaps","LEAVE"
"zero",35448,0,34,309654,159,1,10,"very_unsat","high","considering","STAY"
"one",47011,0,0,621032,192,1,8,"very_unsat","little","never_thought","LEAVE"
"zero",31713,244,65,407332,208,16,2,"avg","little","considering","STAY"
"one",69501,0,21,642082,292,0,4,"very_unsat","very_high","considering","STAY"
"zero",80576,209,22,789085,341,27,5,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"one",29612,0,0,208498,213,0,12,"very_unsat","little","considering","LEAVE"
"one",144565,0,0,725420,519,0,14,"very_unsat","little","considering","STAY"
"zero",122378,0,65,383251,482,1,2,"very_unsat","little","considering","STAY"
"zero",48942,67,64,244273,183,3,1,"very_unsat","high","considering","STAY"
"zero",41140,72,0,258416,210,5,11,"very_sat","very_high","considering","STAY"
"one",32198,57,0,202262,160,4,9,"very_sat","little","never_thought","STAY"
"one",105977,130,14,182229,313,21,5,"very_unsat","high","perhaps","LEAVE"
"one",144425,202,0,951016,669,4,14,"very_sat","avg","no","STAY"
"zero",148418,0,0,355981,591,1,11,"unsat","very_little","perhaps","LEAVE"
"one",30349,0,0,340795,223,1,13,"very_sat","little","considering","LEAVE"
"one",26438,0,57,454360,209,1,1,"sat","very_high","considering","STAY"
"one",112564,156,14,788473,613,15,2,"avg","avg","actively_looking_into_it","LEAVE"
"zero",44999,76,0,716553,840,5,11,"very_unsat","little","considering","STAY"
"zero",114678,205,24,907574,616,16,5,"very_sat","little","no","LEAVE"
"zero",24007,43,0,510990,161,3,9,"very_sat","very_little","considering","LEAVE"
"one",48113,42,9,407465,183,3,5,"very_sat","high","considering","STAY"
"zero",27518,0,15,800987,159,0,5,"unsat","high","perhaps","STAY"
"zero",39734,65,0,821919,136,3,11,"avg","little","actively_looking_into_it","LEAVE"
"one",140070,0,16,242549,229,1,4,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",96561,0,13,165656,379,0,4,"very_unsat","little","no","STAY"
"one",50305,0,0,181850,320,16,9,"very_sat","little","considering","LEAVE"
"zero",25574,206,71,308509,233,19,1,"very_unsat","little","actively_looking_into_it","LEAVE"
"zero",39128,223,7,613104,177,21,4,"avg","high","no","STAY"
"zero",55941,211,14,668201,335,22,6,"very_unsat","high","considering","STAY"
"zero",75485,0,34,232237,328,3,2,"unsat","avg","considering","STAY"
"zero",21317,0,72,556031,212,1,2,"very_sat","little","no","STAY"
"zero",20878,187,0,412984,246,12,11,"very_unsat","little","considering","LEAVE"
"one",140452,0,0,635322,537,1,11,"very_sat","little","considering","STAY"
"zero",105144,183,24,259973,461,25,6,"very_unsat","very_high","considering","LEAVE"
"one",67188,72,77,162096,756,4,1,"avg","very_little","actively_looking_into_it","STAY"
"zero",69197,0,22,276161,296,0,6,"very_unsat","high","no","STAY"
"zero",136930,0,0,975513,848,1,10,"very_sat","very_little","considering","STAY"
"zero",22203,198,75,159700,132,23,1,"unsat","little","considering","LEAVE"
"one",109123,0,70,158981,707,0,2,"very_unsat","very_little","considering","STAY"
"one",91878,267,74,177081,259,13,2,"avg","very_high","considering","LEAVE"
"one",142108,0,59,977473,236,29,1,"unsat","very_little","considering","STAY"
"one",24136,64,14,161689,175,3,5,"very_sat","little","no","STAY"
"zero",26226,207,0,321548,249,5,13,"sat","avg","never_thought","STAY"
"one",39706,149,53,251980,177,24,2,"very_unsat","little","perhaps","LEAVE"
"zero",77295,183,0,963513,358,12,13,"unsat","little","actively_looking_into_it","STAY"
"zero",41863,0,55,445210,215,1,5,"sat","very_little","no","LEAVE"
"one",130808,188,0,666107,739,14,9,"very_sat","little","considering","LEAVE"
"one",149142,58,13,163174,414,5,6,"avg","little","never_thought","LEAVE"
"zero",116132,0,0,467374,863,1,11,"very_unsat","very_high","considering","LEAVE"
"zero",81130,111,68,463193,358,14,5,"sat","very_high","no","LEAVE"
"zero",151293,68,0,863177,723,3,12,"very_unsat","little","actively_looking_into_it","STAY"
"one",51920,0,6,461025,307,1,6,"unsat","very_high","considering","STAY"
"zero",29451,174,16,404881,177,22,2,"very_unsat","little","considering","LEAVE"
"zero",94457,0,0,995388,313,0,14,"sat","high","considering","STAY"
"one",137815,0,88,208865,673,1,2,"unsat","very_little","no","STAY"
"zero",135651,43,73,234036,771,3,1,"very_unsat","very_high","never_thought","LEAVE"
"zero",85766,39,0,377998,369,4,4,"very_sat","little","considering","STAY"
"one",113385,0,0,333599,819,1,6,"very_unsat","very_high","considering","LEAVE"
"one",89945,0,17,400205,388,0,6,"avg","little","no","LEAVE"
"one",146252,228,52,915868,279,12,1,"very_unsat","avg","no","LEAVE"
"one",158954,199,83,842094,444,24,2,"very_unsat","avg","no","LEAVE"
"zero",111311,215,0,869833,691,29,8,"unsat","very_high","no","LEAVE"
"zero",43738,176,45,955597,294,15,1,"very_sat","very_little","considering","STAY"
"zero",107196,0,41,170217,881,0,5,"sat","very_little","no","STAY"
"zero",118262,229,27,393799,631,28,2,"unsat","very_high","no","LEAVE"
"one",32348,77,0,327107,188,3,8,"very_unsat","little","actively_looking_into_it","STAY"
"zero",149530,65,68,598856,614,5,2,"very_sat","avg","perhaps","LEAVE"
"zero",95306,205,16,864429,289,18,4,"very_unsat","high","considering","STAY"
"zero",23025,62,12,333858,182,4,6,"unsat","very_little","actively_looking_into_it","LEAVE"
"one",144573,199,0,889671,766,19,11,"unsat","high","no","LEAVE"
"one",139124,0,0,159278,649,1,9,"unsat","very_high","no","STAY"
"zero",159237,0,23,714152,493,1,4,"very_unsat","little","actively_looking_into_it","STAY"
"one",22784,211,24,425129,179,0,5,"unsat","very_high","no","LEAVE"
"one",58443,0,15,365214,313,0,6,"very_sat","little","considering","STAY"
"zero",57995,61,15,219971,357,3,4,"unsat","little","never_thought","LEAVE"
"one",81269,64,36,640913,335,3,2,"very_sat","very_high","considering","LEAVE"
"zero",43846,205,0,295838,190,22,9,"sat","high","considering","LEAVE"
"zero",156896,0,9,833400,804,16,6,"very_unsat","very_high","considering","LEAVE"
"zero",134320,0,16,444630,878,1,4,"very_unsat","very_high","never_thought","STAY"
"one",92796,208,74,254687,175,21,1,"unsat","avg","no","LEAVE"
"one",88948,0,0,618241,380,0,13,"very_unsat","little","considering","STAY"
"zero",28049,50,18,191919,215,3,5,"very_sat","high","never_thought","LEAVE"
"one",88531,176,0,871960,390,13,15,"unsat","very_high","actively_looking_into_it","STAY"
"one",105874,53,73,624030,787,0,2,"very_sat","very_high","never_thought","STAY"
"one",153758,47,0,792115,253,4,9,"very_sat","very_high","no","STAY"
"zero",46369,181,6,230513,178,18,4,"very_sat","little","considering","LEAVE"
"zero",118446,45,58,290761,676,5,2,"very_sat","very_little","considering","LEAVE"
"zero",96771,0,0,505359,390,1,14,"very_sat","very_high","actively_looking_into_it","STAY"
"one",35421,200,15,713740,148,16,5,"unsat","high","no","LEAVE"
"one",153831,0,48,843392,749,0,1,"unsat","very_little","actively_looking_into_it","LEAVE"
"one",41019,61,72,172787,183,5,2,"very_unsat","very_high","considering","STAY"
"one",52026,199,27,806981,377,13,2,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"one",21693,231,8,299898,160,29,4,"unsat","very_high","considering","STAY"
"one",35517,0,53,504747,207,19,1,"very_sat","very_high","never_thought","STAY"
"zero",82633,215,63,442139,342,27,2,"very_sat","little","actively_looking_into_it","LEAVE"
"zero",101357,71,13,251626,440,5,5,"very_sat","very_little","considering","STAY"
"one",125770,232,19,172941,514,19,4,"very_unsat","very_little","considering","LEAVE"
"zero",93067,63,11,725428,275,24,8,"very_sat","very_little","no","STAY"
"zero",155114,173,23,177272,604,15,2,"very_unsat","little","never_thought","STAY"
"zero",112088,0,0,296899,585,1,11,"avg","very_high","considering","LEAVE"
"one",109648,66,16,780341,845,3,6,"unsat","very_high","considering","LEAVE"
"one",97899,0,17,233709,334,0,6,"avg","very_high","considering","STAY"
"one",79266,72,0,170708,293,5,11,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"one",25893,0,19,888231,245,0,4,"very_unsat","little","never_thought","STAY"
"one",82501,70,86,264367,353,3,4,"very_sat","high","perhaps","LEAVE"
"one",86716,45,0,437172,383,29,10,"very_sat","very_high","no","LEAVE"
"one",27593,0,68,368094,232,1,2,"unsat","very_high","never_thought","LEAVE"
"zero",81153,262,81,235115,382,4,5,"very_unsat","very_high","considering","LEAVE"
"zero",153941,57,0,933795,612,5,10,"unsat","very_little","no","STAY"
"zero",75235,0,0,284362,284,1,9,"very_unsat","very_high","considering","LEAVE"
"zero",108171,185,0,626283,617,29,11,"sat","very_little","considering","LEAVE"
"zero",86557,192,24,354171,868,3,6,"unsat","little","no","LEAVE"
"one",103351,0,0,741464,397,1,1,"very_sat","little","considering","STAY"
"zero",152701,0,27,193164,731,0,2,"very_unsat","little","actively_looking_into_it","LEAVE"
"zero",30420,62,11,358459,162,4,5,"very_unsat","very_little","considering","STAY"
"one",125665,78,0,209797,805,5,14,"very_unsat","little","never_thought","LEAVE"
"zero",38356,80,0,966411,158,4,14,"very_sat","high","considering","STAY"
"one",34158,200,0,851107,200,27,8,"very_sat","very_high","never_thought","STAY"
"zero",126586,179,0,574221,336,22,1,"very_sat","high","no","LEAVE"
"zero",21944,0,0,351845,201,1,11,"unsat","very_little","actively_looking_into_it","LEAVE"
"zero",149050,154,24,470213,771,3,4,"very_sat","high","no","LEAVE"
"one",156288,0,41,247908,763,5,1,"very_sat","very_little","no","LEAVE"
"zero",36971,43,0,471485,179,3,9,"very_unsat","high","actively_looking_into_it","STAY"
"zero",32249,182,0,926444,197,10,11,"very_unsat","avg","perhaps","STAY"
"zero",29637,0,0,168871,700,0,8,"very_unsat","very_little","no","LEAVE"
"one",23434,176,72,784337,162,10,1,"unsat","very_high","actively_looking_into_it","STAY"
"zero",153996,0,0,683282,776,1,9,"very_sat","very_high","actively_looking_into_it","STAY"
"one",121541,221,10,274147,631,15,6,"unsat","very_high","considering","LEAVE"
"one",157282,0,0,187853,428,1,6,"very_sat","very_little","never_thought","LEAVE"
"one",130012,0,25,624970,711,0,2,"very_unsat","very_little","considering","LEAVE"
"zero",124516,80,0,750355,595,5,15,"very_unsat","very_high","considering","STAY"
"one",119200,172,21,289699,739,4,6,"very_unsat","very_high","considering","STAY"
"zero",61423,49,13,239961,330,5,4,"very_unsat","little","actively_looking_into_it","LEAVE"
"zero",149336,0,0,490184,427,0,13,"very_unsat","very_little","no","STAY"
"one",72334,0,0,848027,264,1,9,"unsat","very_little","actively_looking_into_it","STAY"
"zero",61268,0,12,172643,353,1,4,"very_unsat","little","never_thought","STAY"
"zero",38801,207,73,621654,214,15,1,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"one",144265,223,11,464672,246,12,5,"avg","little","actively_looking_into_it","STAY"
"zero",79137,0,20,340583,378,0,6,"very_unsat","little","no","STAY"
"one",22227,0,9,600884,212,0,6,"very_unsat","little","considering","STAY"
"one",158481,179,10,740817,767,24,5,"very_sat","very_little","no","LEAVE"
"one",95948,243,34,858158,847,10,1,"very_unsat","little","actively_looking_into_it","STAY"
"one",64638,110,0,872504,299,1,2,"very_sat","very_little","no","STAY"
"one",88245,0,0,779515,164,1,14,"very_unsat","little","considering","STAY"
"one",128437,0,20,270768,530,1,5,"very_unsat","very_high","considering","STAY"
"one",135137,0,84,152761,527,0,14,"unsat","high","considering","STAY"
"one",23687,94,6,965493,211,4,4,"very_unsat","little","considering","STAY"
"zero",43506,0,0,586547,184,1,2,"very_unsat","little","never_thought","STAY"
"one",34602,175,25,256613,192,26,1,"very_sat","little","no","STAY"
"one",57238,0,77,589311,205,0,1,"unsat","very_little","considering","LEAVE"
"zero",68300,174,9,594281,151,16,4,"sat","very_high","considering","STAY"
"one",39162,192,73,462965,223,25,1,"very_unsat","avg","no","LEAVE"
"zero",29594,0,24,452577,196,1,6,"sat","high","actively_looking_into_it","STAY"
"one",30017,50,0,169123,145,5,11,"very_sat","little","considering","STAY"
"zero",21271,0,19,257613,202,4,5,"very_unsat","little","no","STAY"
"zero",120628,0,67,731222,854,1,2,"very_unsat","very_high","actively_looking_into_it","STAY"
"zero",56452,0,75,185601,305,0,2,"very_unsat","little","considering","LEAVE"
"one",96901,92,80,541017,284,5,1,"very_unsat","little","considering","STAY"
"one",36870,46,0,745996,165,4,10,"very_unsat","high","perhaps","STAY"
"zero",47155,57,12,690658,144,3,4,"very_unsat","very_little","never_thought","STAY"
"zero",56085,59,6,763020,364,4,5,"avg","little","actively_looking_into_it","STAY"
"zero",63521,70,39,918314,366,5,2,"unsat","very_little","never_thought","STAY"
"one",118493,155,0,602244,712,20,12,"very_sat","little","considering","STAY"
"zero",96562,74,8,287539,872,4,5,"very_unsat","high","actively_looking_into_it","LEAVE"
"zero",139779,0,24,474522,436,1,6,"very_unsat","little","actively_looking_into_it","STAY"
"zero",96845,247,28,160308,311,4,2,"unsat","very_little","perhaps","LEAVE"
"zero",24498,210,10,652509,131,20,4,"unsat","little","considering","STAY"
"zero",24375,0,10,599092,238,1,4,"unsat","high","actively_looking_into_it","STAY"
"zero",109515,72,58,735984,840,4,5,"very_unsat","very_little","no","STAY"
"one",128381,0,81,533569,419,0,2,"very_unsat","little","considering","STAY"
"zero",36454,0,49,603280,194,1,15,"very_sat","very_little","never_thought","STAY"
"zero",28400,0,0,689580,234,1,12,"very_unsat","high","no","STAY"
"zero",54195,62,0,265956,379,5,14,"sat","high","perhaps","LEAVE"
"zero",91056,214,37,707826,317,13,1,"very_unsat","very_high","no","STAY"
"zero",87088,43,27,464493,297,5,2,"very_unsat","very_high","considering","LEAVE"
"zero",41412,69,6,521756,245,3,5,"very_sat","avg","actively_looking_into_it","STAY"
"one",38499,196,16,473037,242,14,4,"very_unsat","high","no","LEAVE"
"one",28365,0,0,608737,167,0,10,"very_unsat","high","considering","LEAVE"
"zero",71014,49,24,181700,305,5,13,"avg","very_little","actively_looking_into_it","LEAVE"
"zero",48756,0,10,287131,156,0,5,"very_unsat","little","no","STAY"
"one",29402,284,14,282611,212,19,4,"unsat","avg","considering","LEAVE"
"one",150692,184,0,671805,631,0,6,"unsat","little","no","STAY"
"one",84107,61,11,509613,250,4,5,"avg","little","considering","STAY"
"one",32615,65,0,240199,216,5,14,"very_sat","high","considering","STAY"
"one",110749,0,0,188084,612,1,13,"very_unsat","very_little","considering","STAY"
"one",153726,200,0,297876,862,14,13,"avg","high","never_thought","STAY"
"one",61932,0,57,930818,391,0,1,"very_unsat","avg","actively_looking_into_it","STAY"
"zero",137010,203,29,224693,217,17,9,"very_unsat","very_little","perhaps","STAY"
"zero",35891,61,83,651379,167,1,2,"sat","very_little","considering","STAY"
"zero",40502,0,21,167539,161,1,4,"very_unsat","little","actively_looking_into_it","STAY"
"one",64836,160,10,577303,393,11,15,"unsat","little","perhaps","LEAVE"
"one",45748,176,0,167896,234,14,6,"very_unsat","very_little","never_thought","LEAVE"
"one",21122,49,0,234065,214,4,9,"very_unsat","little","actively_looking_into_it","LEAVE"
"one",35604,0,83,541329,235,0,2,"very_unsat","little","no","STAY"
"one",96626,185,15,790297,373,14,5,"avg","very_high","no","LEAVE"
"zero",40657,64,79,567012,203,3,2,"unsat","very_little","actively_looking_into_it","LEAVE"
"zero",38778,0,8,503508,155,1,4,"very_sat","very_little","actively_looking_into_it","STAY"
"one",104526,0,0,899999,436,1,9,"very_sat","little","actively_looking_into_it","STAY"
"one",153396,226,0,263814,708,24,8,"unsat","very_little","considering","LEAVE"
"one",136880,65,32,182631,643,23,1,"very_unsat","very_high","no","LEAVE"
"zero",60682,0,0,170991,324,1,8,"very_sat","little","no","LEAVE"
"one",86440,44,12,188892,151,1,4,"very_sat","little","actively_looking_into_it","STAY"
"one",95729,53,0,233011,390,5,11,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"zero",47080,0,28,295695,225,0,1,"unsat","little","considering","STAY"
"one",49990,40,57,322533,159,4,6,"unsat","avg","no","LEAVE"
"zero",141304,201,0,426087,535,1,8,"very_sat","little","considering","LEAVE"
"one",43054,0,0,861863,221,0,14,"very_sat","very_high","no","STAY"
"zero",146307,69,8,412647,559,4,4,"unsat","very_high","actively_looking_into_it","STAY"
"one",63338,0,0,569078,347,1,15,"very_sat","very_little","considering","STAY"
"one",109312,0,7,460373,839,1,14,"very_unsat","little","no","STAY"
"zero",43491,158,0,931011,873,17,9,"sat","very_high","considering","STAY"
"zero",35292,79,17,392043,167,3,5,"very_unsat","very_high","considering","STAY"
"one",156249,0,15,275943,585,1,1,"sat","little","perhaps","STAY"
"zero",106716,75,7,681472,723,3,5,"unsat","little","considering","STAY"
"zero",32280,0,0,620073,216,1,13,"unsat","very_high","considering","STAY"
"one",96957,200,0,174955,386,28,10,"very_sat","avg","considering","LEAVE"
"one",52814,62,0,538350,253,3,8,"unsat","very_little","considering","LEAVE"
"zero",52542,0,89,578474,389,0,1,"very_unsat","little","perhaps","LEAVE"
"zero",118442,216,11,404335,164,21,4,"sat","very_little","no","LEAVE"
"zero",132767,0,39,543440,322,13,2,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"zero",92219,0,5,870146,379,1,15,"unsat","very_high","actively_looking_into_it","STAY"
"one",134928,55,22,221575,656,5,4,"very_unsat","very_little","never_thought","LEAVE"
"one",37725,172,62,629624,284,29,2,"unsat","little","considering","STAY"
"one",70801,219,5,183548,328,25,6,"very_sat","avg","considering","LEAVE"
"one",64599,145,83,369688,287,14,2,"very_unsat","high","no","STAY"
"zero",34097,45,87,805164,264,3,1,"very_sat","little","considering","STAY"
"one",24309,0,17,372736,186,0,5,"very_sat","little","actively_looking_into_it","LEAVE"
"one",53130,0,5,225070,299,0,4,"very_sat","little","considering","STAY"
"zero",136391,208,29,896295,485,13,8,"unsat","very_little","no","LEAVE"
"one",69275,208,0,259056,338,14,12,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"one",86915,204,0,280139,340,5,6,"very_unsat","little","perhaps","LEAVE"
"zero",113259,0,22,285563,884,1,5,"very_sat","high","actively_looking_into_it","STAY"
"zero",72367,201,55,920142,367,20,2,"avg","high","considering","STAY"
"zero",86961,213,85,800387,256,19,2,"very_sat","little","considering","LEAVE"
"zero",43944,0,79,998159,200,0,1,"very_sat","very_high","no","STAY"
"zero",139767,0,0,928423,582,0,9,"unsat","very_little","no","STAY"
"one",39701,0,0,860780,212,1,11,"unsat","little","considering","LEAVE"
"zero",31365,96,0,185804,196,5,10,"very_sat","high","no","STAY"
"zero",30056,186,0,910269,625,16,12,"very_sat","very_little","considering","STAY"
"one",75821,0,41,610728,252,25,1,"very_sat","very_little","considering","STAY"
"zero",40190,44,7,701621,172,3,6,"unsat","very_high","actively_looking_into_it","STAY"
"zero",151490,0,17,784010,862,0,4,"very_sat","very_high","considering","STAY"
"one",43676,237,0,681715,157,24,12,"very_sat","very_little","considering","STAY"
"zero",135822,0,0,264297,600,1,9,"very_unsat","high","considering","LEAVE"
"zero",76207,77,53,222599,732,4,1,"unsat","little","perhaps","LEAVE"
"one",65698,0,21,488891,324,1,6,"sat","little","no","STAY"
"one",49958,0,72,479418,281,0,1,"very_unsat","little","actively_looking_into_it","LEAVE"
"zero",44287,0,23,409048,241,4,5,"unsat","very_high","considering","STAY"
"one",95269,0,13,807403,263,1,6,"very_unsat","very_little","considering","STAY"
"zero",34798,68,57,517364,218,3,1,"unsat","high","actively_looking_into_it","STAY"
"zero",70392,183,0,582586,322,28,15,"very_sat","little","no","STAY"
"zero",64243,51,0,325289,324,4,15,"very_sat","little","no","STAY"
"one",101583,0,21,496604,431,1,4,"sat","very_little","considering","STAY"
"zero",118969,87,56,592651,669,4,2,"very_unsat","very_high","no","STAY"
"one",42066,0,28,725171,224,1,2,"very_unsat","very_high","no","STAY"
"one",139706,45,0,659734,400,3,4,"unsat","very_high","no","STAY"
"one",87921,206,15,747545,356,25,5,"very_sat","very_high","no","STAY"
"one",130101,0,14,200318,580,1,4,"very_unsat","very_high","considering","STAY"
"zero",51588,80,0,514518,310,4,13,"avg","very_high","considering","LEAVE"
"one",62034,207,42,159947,301,16,1,"sat","very_little","considering","LEAVE"
"one",84822,71,9,179746,306,0,6,"avg","little","considering","LEAVE"
"one",98721,87,0,291560,341,0,4,"sat","very_high","never_thought","LEAVE"
"zero",41591,138,0,425346,215,16,12,"avg","little","no","STAY"
"zero",122010,0,0,265954,711,1,12,"very_unsat","little","no","STAY"
"one",64383,64,0,602673,145,5,15,"very_sat","little","never_thought","STAY"
"one",130895,0,9,273097,557,1,12,"unsat","very_high","actively_looking_into_it","STAY"
"one",135755,0,0,377016,535,29,14,"very_unsat","avg","considering","STAY"
"zero",40582,0,86,281426,151,1,2,"very_unsat","very_little","actively_looking_into_it","STAY"
"one",147200,50,44,281384,860,4,1,"very_sat","little","actively_looking_into_it","LEAVE"
"one",109684,0,14,167886,730,0,8,"very_sat","little","no","STAY"
"one",20470,0,16,876567,181,0,5,"avg","high","considering","STAY"
"zero",152893,37,29,164593,589,5,2,"very_unsat","little","never_thought","LEAVE"
"one",20736,75,17,199399,189,3,5,"unsat","very_little","perhaps","STAY"
"one",26017,62,33,933191,193,0,1,"unsat","very_high","actively_looking_into_it","STAY"
"zero",21905,0,50,158087,196,0,4,"avg","avg","actively_looking_into_it","STAY"
"one",55409,0,14,295128,252,0,4,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",152725,93,11,281463,445,3,4,"very_unsat","little","considering","LEAVE"
"one",30880,67,21,777325,145,3,4,"unsat","avg","considering","STAY"
"zero",49724,183,26,898515,181,27,1,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",75282,133,0,656752,210,18,11,"avg","little","no","LEAVE"
"one",128835,204,0,624632,662,22,8,"unsat","very_little","no","LEAVE"
"zero",142576,67,0,267612,779,0,9,"unsat","very_high","considering","LEAVE"
"one",71686,0,21,396957,371,1,6,"very_sat","very_little","considering","STAY"
"one",157540,47,0,735082,878,5,9,"very_unsat","little","never_thought","STAY"
"zero",151711,0,33,437099,767,0,2,"unsat","high","no","LEAVE"
"one",21071,86,69,228903,241,3,1,"very_unsat","very_high","considering","STAY"
"one",149305,0,0,610542,506,0,12,"very_sat","very_high","never_thought","STAY"
"one",146534,0,88,725734,641,0,1,"very_unsat","very_little","no","LEAVE"
"one",159602,65,0,151948,764,3,15,"unsat","little","no","LEAVE"
"zero",118771,67,56,376716,801,4,2,"very_unsat","little","considering","STAY"
"zero",158626,40,55,656346,710,0,2,"sat","very_high","considering","STAY"
"zero",146701,0,0,270434,203,1,14,"unsat","very_high","actively_looking_into_it","STAY"
"one",40569,188,10,714435,386,27,6,"avg","little","considering","STAY"
"one",29888,53,0,187087,584,3,14,"very_unsat","little","considering","LEAVE"
"one",92194,0,6,180939,369,1,6,"unsat","little","actively_looking_into_it","STAY"
"one",38982,69,45,811517,234,3,2,"very_sat","high","considering","STAY"
"one",128504,186,0,749529,465,1,10,"very_unsat","little","actively_looking_into_it","LEAVE"
"zero",26656,0,0,292897,222,0,13,"very_unsat","very_little","no","STAY"
"one",53476,0,0,455806,240,1,11,"very_sat","little","never_thought","LEAVE"
"one",129053,196,0,771926,437,20,8,"very_sat","little","considering","LEAVE"
"one",54642,49,57,229718,288,4,1,"avg","little","actively_looking_into_it","LEAVE"
"zero",39748,206,21,155121,136,14,6,"very_unsat","very_little","considering","STAY"
"zero",88426,219,0,821844,198,0,9,"very_sat","little","considering","STAY"
"one",49540,0,0,387406,149,0,10,"very_sat","very_high","considering","STAY"
"zero",30262,188,0,201765,353,19,12,"unsat","very_little","considering","STAY"
"zero",20420,0,78,255282,154,12,2,"very_unsat","little","no","LEAVE"
"one",55050,71,61,371115,274,3,2,"very_unsat","very_high","considering","LEAVE"
"one",32595,0,0,864838,210,0,15,"very_sat","little","no","STAY"
"zero",70543,219,57,900452,379,15,1,"avg","little","never_thought","STAY"
"zero",80733,225,0,295411,324,25,11,"very_unsat","very_high","considering","LEAVE"
"one",47176,190,36,276430,216,14,1,"very_sat","very_little","considering","LEAVE"
"one",47206,53,0,557333,217,5,9,"very_unsat","little","considering","STAY"
"one",64065,0,19,290895,332,0,4,"sat","little","no","STAY"
"one",32408,76,37,363381,158,4,2,"very_unsat","high","considering","LEAVE"
"zero",134391,0,0,938719,502,1,9,"avg","little","considering","LEAVE"
"zero",59647,182,0,272213,322,10,9,"unsat","very_little","no","LEAVE"
"zero",122280,48,0,670390,582,4,13,"unsat","very_high","no","STAY"
"zero",39776,0,32,155892,236,0,2,"very_sat","very_little","actively_looking_into_it","STAY"
"one",119811,221,17,297666,797,14,4,"very_sat","very_little","no","LEAVE"
"one",25156,81,66,929583,181,5,2,"avg","very_little","considering","LEAVE"
"zero",141693,239,25,635447,804,18,2,"very_sat","little","no","LEAVE"
"zero",107004,62,17,686733,407,0,4,"very_sat","little","considering","STAY"
"zero",156281,169,0,558800,610,16,9,"unsat","very_little","actively_looking_into_it","LEAVE"
"zero",25317,64,0,174825,175,5,6,"very_unsat","little","perhaps","LEAVE"
"zero",33790,236,23,816504,219,24,5,"very_sat","high","actively_looking_into_it","STAY"
"zero",38332,207,29,309515,173,19,1,"very_unsat","high","no","LEAVE"
"zero",46154,0,45,309170,229,0,2,"very_sat","little","considering","LEAVE"
"zero",123879,184,23,946813,740,14,4,"very_unsat","very_high","no","LEAVE"
"one",126910,171,16,448602,482,29,4,"very_sat","very_little","perhaps","LEAVE"
"zero",70087,68,42,636935,361,4,1,"unsat","very_high","considering","STAY"
